Method,Metric,Seed,Split,Task,Metric Name
Proximity,0.0011764705882352942,4,cell_proliferation,contraindication,Precision@10
Proximity,0.0008446455505279034,4,cell_proliferation,contraindication,Precision@K
DSD-min,0.5102470887258874,5,cell_proliferation,contraindication,AUPRC
DSD-min,0.5028603154285444,5,cell_proliferation,contraindication,AUROC
DSD-min,0.016761494335023747,5,cell_proliferation,contraindication,Recall@100
DSD-min,0.5173229531344194,5,cell_proliferation,contraindication,Avg Rank
DSD-min,0.002,5,cell_proliferation,contraindication,Precision@100
DSD-min,0.0011764705882352942,5,cell_proliferation,contraindication,Precision@10
DSD-min,0.0011381007704537116,5,cell_proliferation,contraindication,Precision@K
KL-min,0.48744180464632936,5,cell_proliferation,contraindication,AUPRC
KL-min,0.4815122346158815,5,cell_proliferation,contraindication,AUROC
KL-min,0.008811445907034142,5,cell_proliferation,contraindication,Recall@100
KL-min,0.5008023816617884,5,cell_proliferation,contraindication,Avg Rank
KL-min,0.0011764705882352942,5,cell_proliferation,contraindication,Precision@100
KL-min,0.0023529411764705885,5,cell_proliferation,contraindication,Precision@10
KL-min,0.0016922905525846705,5,cell_proliferation,contraindication,Precision@K
JS-min,0.4773237093872229,5,cell_proliferation,contraindication,AUPRC
JS-min,0.47274145529456657,5,cell_proliferation,contraindication,AUROC
JS-min,0.011954797653327064,5,cell_proliferation,contraindication,Recall@100
JS-min,0.47747880120462866,5,cell_proliferation,contraindication,Avg Rank
JS-min,0.0018823529411764706,5,cell_proliferation,contraindication,Precision@100
JS-min,0.004705882352941177,5,cell_proliferation,contraindication,Precision@10
JS-min,0.0023419717537364595,5,cell_proliferation,contraindication,Precision@K
HGT,0.5019851101928646,5,cell_proliferation,contraindication,AUPRC
HGT,0.5019846181003088,5,cell_proliferation,contraindication,AUROC
HGT,0.0,5,cell_proliferation,contraindication,Recall@100
HGT,0.6189829520382043,5,cell_proliferation,contraindication,Avg Rank
HGT,0.0,5,cell_proliferation,contraindication,Precision@100
HGT,0.0,5,cell_proliferation,contraindication,Precision@10
HGT,0.0,5,cell_proliferation,contraindication,Precision@K
HAN,0.46464582011749017,5,cell_proliferation,contraindication,AUPRC
HAN,0.46501500420591113,5,cell_proliferation,contraindication,AUROC
HAN,0.14077030812324928,5,cell_proliferation,contraindication,Recall@100
HAN,0.4911936904777389,5,cell_proliferation,contraindication,Avg Rank
HAN,0.004470588235294118,5,cell_proliferation,contraindication,Precision@100
HAN,0.003529411764705883,5,cell_proliferation,contraindication,Precision@10
HAN,0.0032002801120448177,5,cell_proliferation,contraindication,Precision@K
RGCN,0.549027329602707,5,cell_proliferation,contraindication,AUPRC
RGCN,0.5988024247348993,5,cell_proliferation,contraindication,AUROC
RGCN,0.0530721043104944,5,cell_proliferation,contraindication,Recall@100
RGCN,0.6164435366406165,5,cell_proliferation,contraindication,Avg Rank
RGCN,0.009647058823529413,5,cell_proliferation,contraindication,Precision@100
RGCN,0.0,5,cell_proliferation,contraindication,Precision@10
RGCN,0.00339756731010601,5,cell_proliferation,contraindication,Precision@K
BioBERT,0.7801445236700079,5,cell_proliferation,contraindication,AUPRC
BioBERT,0.7457815154888966,5,cell_proliferation,contraindication,AUROC
BioBERT,0.19936489916172578,5,cell_proliferation,contraindication,Recall@100
BioBERT,0.8230329045857957,5,cell_proliferation,contraindication,Avg Rank
BioBERT,0.03870588235294118,5,cell_proliferation,contraindication,Precision@100
BioBERT,0.06470588235294118,5,cell_proliferation,contraindication,Precision@10
BioBERT,0.05296985715522867,5,cell_proliferation,contraindication,Precision@K
TxGNN,0.8712466527686291,5,cell_proliferation,contraindication,AUPRC
TxGNN,0.8563836658780789,5,cell_proliferation,contraindication,AUROC
TxGNN,0.18157563347385328,5,cell_proliferation,contraindication,Recall@100
TxGNN,0.7682318586948484,5,cell_proliferation,contraindication,Avg Rank
TxGNN,0.034823529411764705,5,cell_proliferation,contraindication,Precision@100
TxGNN,0.058823529411764705,5,cell_proliferation,contraindication,Precision@10
TxGNN,0.0721841722518967,5,cell_proliferation,contraindication,Precision@K
Proximity,0.5062844616608171,5,cell_proliferation,contraindication,AUPRC
Proximity,0.5307731677660548,5,cell_proliferation,contraindication,AUROC
Proximity,0.014524886877828056,5,cell_proliferation,contraindication,Recall@100
Proximity,0.6360117429477032,5,cell_proliferation,contraindication,Avg Rank
Proximity,0.0017647058823529415,5,cell_proliferation,contraindication,Precision@100
Proximity,0.003529411764705883,5,cell_proliferation,contraindication,Precision@10
Proximity,0.0016892911010558068,5,cell_proliferation,contraindication,Precision@K
DSD-min,0.49455219948537754,1,mental_health,contraindication,AUPRC
DSD-min,0.4779097567947847,1,mental_health,contraindication,AUROC
DSD-min,0.040192626290707016,1,mental_health,contraindication,Recall@100
DSD-min,0.5036521393751019,1,mental_health,contraindication,Avg Rank
DSD-min,0.003953488372093024,1,mental_health,contraindication,Precision@100
DSD-min,0.006976744186046512,1,mental_health,contraindication,Precision@10
DSD-min,0.005538881785343172,1,mental_health,contraindication,Precision@K
KL-min,0.4961881614412186,1,mental_health,contraindication,AUPRC
KL-min,0.49626152264061985,1,mental_health,contraindication,AUROC
KL-min,0.006975993271808426,1,mental_health,contraindication,Recall@100
KL-min,0.5059432007693676,1,mental_health,contraindication,Avg Rank
KL-min,0.0018604651162790699,1,mental_health,contraindication,Precision@100
KL-min,0.002325581395348837,1,mental_health,contraindication,Precision@10
KL-min,0.0014473871939085837,1,mental_health,contraindication,Precision@K
JS-min,0.5101482072518344,1,mental_health,contraindication,AUPRC
JS-min,0.5038962581813997,1,mental_health,contraindication,AUROC
JS-min,0.03764136057184879,1,mental_health,contraindication,Recall@100
JS-min,0.5280778113749841,1,mental_health,contraindication,Avg Rank
JS-min,0.004418604651162791,1,mental_health,contraindication,Precision@100
JS-min,0.011627906976744186,1,mental_health,contraindication,Precision@10
JS-min,0.013263180137169565,1,mental_health,contraindication,Precision@K
HGT,0.6103011378120047,1,mental_health,contraindication,AUPRC
HGT,0.6256645356974468,1,mental_health,contraindication,AUROC
HGT,0.04714202296571774,1,mental_health,contraindication,Recall@100
HGT,0.48142173536163385,1,mental_health,contraindication,Avg Rank
HGT,0.010697674418604653,1,mental_health,contraindication,Precision@100
HGT,0.009302325581395349,1,mental_health,contraindication,Precision@10
HGT,0.010377989780501942,1,mental_health,contraindication,Precision@K
HAN,0.4331609492735681,1,mental_health,contraindication,AUPRC
HAN,0.4168411536933706,1,mental_health,contraindication,AUROC
HAN,0.11803295512286209,1,mental_health,contraindication,Recall@100
HAN,0.24054585750001425,1,mental_health,contraindication,Avg Rank
HAN,0.006744186046511627,1,mental_health,contraindication,Precision@100
HAN,0.013953488372093023,1,mental_health,contraindication,Precision@10
HAN,0.00483401040767134,1,mental_health,contraindication,Precision@K
RGCN,0.6806351947677276,1,mental_health,contraindication,AUPRC
RGCN,0.7170381940963985,1,mental_health,contraindication,AUROC
RGCN,0.109795647492224,1,mental_health,contraindication,Recall@100
RGCN,0.6688631316289884,1,mental_health,contraindication,Avg Rank
RGCN,0.04441860465116279,1,mental_health,contraindication,Precision@100
RGCN,0.03953488372093023,1,mental_health,contraindication,Precision@10
RGCN,0.04522997667118118,1,mental_health,contraindication,Precision@K
BioBERT,0.5472181387744217,1,mental_health,contraindication,AUPRC
BioBERT,0.5264900078333538,1,mental_health,contraindication,AUROC
BioBERT,0.022186870837232076,1,mental_health,contraindication,Recall@100
BioBERT,0.4961537840259941,1,mental_health,contraindication,Avg Rank
BioBERT,0.005348837209302326,1,mental_health,contraindication,Precision@100
BioBERT,0.004651162790697674,1,mental_health,contraindication,Precision@10
BioBERT,0.004453718862892563,1,mental_health,contraindication,Precision@K
TxGNN,0.7916601161876041,1,mental_health,contraindication,AUPRC
TxGNN,0.8146915292117269,1,mental_health,contraindication,AUROC
TxGNN,0.06581636473099746,1,mental_health,contraindication,Recall@100
TxGNN,0.6426985218880985,1,mental_health,contraindication,Avg Rank
TxGNN,0.03348837209302325,1,mental_health,contraindication,Precision@100
TxGNN,0.05813953488372093,1,mental_health,contraindication,Precision@10
TxGNN,0.03788684700342218,1,mental_health,contraindication,Precision@K
Proximity,0.5008986266965145,1,mental_health,contraindication,AUPRC
Proximity,0.5234545832544429,1,mental_health,contraindication,AUROC
Proximity,0.00989561173228649,1,mental_health,contraindication,Recall@100
Proximity,0.5743012568687921,1,mental_health,contraindication,Avg Rank
Proximity,0.0027906976744186047,1,mental_health,contraindication,Precision@100
Proximity,0.004651162790697674,1,mental_health,contraindication,Precision@10
Proximity,0.0017092114107741696,1,mental_health,contraindication,Precision@K
DSD-min,0.49808917452263624,2,mental_health,contraindication,AUPRC
DSD-min,0.5071437587475544,2,mental_health,contraindication,AUROC
DSD-min,0.007703121552115129,2,mental_health,contraindication,Recall@100
DSD-min,0.5354538737783591,2,mental_health,contraindication,Avg Rank
DSD-min,0.002093023255813953,2,mental_health,contraindication,Precision@100
DSD-min,0.002325581395348837,2,mental_health,contraindication,Precision@10
DSD-min,0.002031841768979161,2,mental_health,contraindication,Precision@K
KL-min,0.5112841997199336,2,mental_health,contraindication,AUPRC
KL-min,0.5129547336102851,2,mental_health,contraindication,AUROC
KL-min,0.004983915837469324,2,mental_health,contraindication,Recall@100
KL-min,0.5028702117678971,2,mental_health,contraindication,Avg Rank
KL-min,0.0032558139534883722,2,mental_health,contraindication,Precision@100
KL-min,0.002325581395348837,2,mental_health,contraindication,Precision@10
KL-min,0.0033869409082480997,2,mental_health,contraindication,Precision@K
JS-min,0.510333476247339,2,mental_health,contraindication,AUPRC
JS-min,0.5027769424675436,2,mental_health,contraindication,AUROC
JS-min,0.006989486552982728,2,mental_health,contraindication,Recall@100
JS-min,0.5247013269166277,2,mental_health,contraindication,Avg Rank
JS-min,0.003488372093023256,2,mental_health,contraindication,Precision@100
JS-min,0.004651162790697674,2,mental_health,contraindication,Precision@10
JS-min,0.003082213070093922,2,mental_health,contraindication,Precision@K
HGT,0.5784174454141536,2,mental_health,contraindication,AUPRC
HGT,0.5903935610574657,2,mental_health,contraindication,AUROC
HGT,0.029906160750713996,2,mental_health,contraindication,Recall@100
HGT,0.4100383602850521,2,mental_health,contraindication,Avg Rank
HGT,0.0016279069767441861,2,mental_health,contraindication,Precision@100
HGT,0.0,2,mental_health,contraindication,Precision@10
HGT,0.0003059975520195838,2,mental_health,contraindication,Precision@K
HAN,0.4220337504786703,2,mental_health,contraindication,AUPRC
HAN,0.39850238156229,2,mental_health,contraindication,AUROC
HAN,0.1335373990910857,2,mental_health,contraindication,Recall@100
HAN,0.2395476645390859,2,mental_health,contraindication,Avg Rank
HAN,0.009767441860465118,2,mental_health,contraindication,Precision@100
HAN,0.011627906976744186,2,mental_health,contraindication,Precision@10
HAN,0.006240097318485255,2,mental_health,contraindication,Precision@K
RGCN,0.6801196260777023,2,mental_health,contraindication,AUPRC
RGCN,0.7167244886973244,2,mental_health,contraindication,AUROC
RGCN,0.10887428032265761,2,mental_health,contraindication,Recall@100
RGCN,0.6587952203349134,2,mental_health,contraindication,Avg Rank
RGCN,0.04372093023255814,2,mental_health,contraindication,Precision@100
RGCN,0.04186046511627907,2,mental_health,contraindication,Precision@10
RGCN,0.0446202818801841,2,mental_health,contraindication,Precision@K
BioBERT,0.5472181387744217,2,mental_health,contraindication,AUPRC
BioBERT,0.5264900078333538,2,mental_health,contraindication,AUROC
BioBERT,0.022186870837232076,2,mental_health,contraindication,Recall@100
BioBERT,0.4961537840259941,2,mental_health,contraindication,Avg Rank
BioBERT,0.005348837209302326,2,mental_health,contraindication,Precision@100
BioBERT,0.004651162790697674,2,mental_health,contraindication,Precision@10
BioBERT,0.004453718862892563,2,mental_health,contraindication,Precision@K
TxGNN,0.7888875374605566,2,mental_health,contraindication,AUPRC
TxGNN,0.8123870010877596,2,mental_health,contraindication,AUROC
TxGNN,0.06415245911822161,2,mental_health,contraindication,Recall@100
TxGNN,0.6356351963279677,2,mental_health,contraindication,Avg Rank
TxGNN,0.03255813953488372,2,mental_health,contraindication,Precision@100
TxGNN,0.05813953488372093,2,mental_health,contraindication,Precision@10
TxGNN,0.03726026046556642,2,mental_health,contraindication,Precision@K
Proximity,0.5039053259665454,2,mental_health,contraindication,AUPRC
Proximity,0.5142081630228579,2,mental_health,contraindication,AUROC
Proximity,0.006699086525110304,2,mental_health,contraindication,Recall@100
Proximity,0.5672985986344493,2,mental_health,contraindication,Avg Rank
Proximity,0.0037209302325581397,2,mental_health,contraindication,Precision@100
Proximity,0.006976744186046512,2,mental_health,contraindication,Precision@10
Proximity,0.0032439939441304307,2,mental_health,contraindication,Precision@K
DSD-min,0.4962401777829347,3,mental_health,contraindication,AUPRC
DSD-min,0.49757760032075915,3,mental_health,contraindication,AUROC
DSD-min,0.035235127370271416,3,mental_health,contraindication,Recall@100
DSD-min,0.5278494493506853,3,mental_health,contraindication,Avg Rank
DSD-min,0.003953488372093023,3,mental_health,contraindication,Precision@100
DSD-min,0.0,3,mental_health,contraindication,Precision@10
DSD-min,0.0023758637679836742,3,mental_health,contraindication,Precision@K
KL-min,0.5010644630987796,3,mental_health,contraindication,AUPRC
KL-min,0.5035472841279918,3,mental_health,contraindication,AUROC
KL-min,0.03115632248344816,3,mental_health,contraindication,Recall@100
KL-min,0.5486070330531436,3,mental_health,contraindication,Avg Rank
KL-min,0.004883720930232559,3,mental_health,contraindication,Precision@100
KL-min,0.0,3,mental_health,contraindication,Precision@10
KL-min,0.0033717066525772183,3,mental_health,contraindication,Precision@K
JS-min,0.5007670608408659,3,mental_health,contraindication,AUPRC
JS-min,0.4988268531821607,3,mental_health,contraindication,AUROC
JS-min,0.005485166236471761,3,mental_health,contraindication,Recall@100
JS-min,0.5112470747921806,3,mental_health,contraindication,Avg Rank
JS-min,0.0037209302325581397,3,mental_health,contraindication,Precision@100
JS-min,0.0,3,mental_health,contraindication,Precision@10
JS-min,0.003607719886550911,3,mental_health,contraindication,Precision@K
HGT,0.608322423561704,3,mental_health,contraindication,AUPRC
HGT,0.6496309785009708,3,mental_health,contraindication,AUROC
HGT,0.03732731309014062,3,mental_health,contraindication,Recall@100
HGT,0.4155041758587857,3,mental_health,contraindication,Avg Rank
HGT,0.010232558139534883,3,mental_health,contraindication,Precision@100
HGT,0.0069767441860465115,3,mental_health,contraindication,Precision@10
HGT,0.0086811094140881,3,mental_health,contraindication,Precision@K
HAN,0.4532216857859156,3,mental_health,contraindication,AUPRC
HAN,0.44651508570283005,3,mental_health,contraindication,AUROC
HAN,0.12794958171308082,3,mental_health,contraindication,Recall@100
HAN,0.24016082450098508,3,mental_health,contraindication,Avg Rank
HAN,0.0032558139534883722,3,mental_health,contraindication,Precision@100
HAN,0.004651162790697674,3,mental_health,contraindication,Precision@10
HAN,0.02376761516881316,3,mental_health,contraindication,Precision@K
RGCN,0.6786785410383065,3,mental_health,contraindication,AUPRC
RGCN,0.7173054933713492,3,mental_health,contraindication,AUROC
RGCN,0.10769658594807746,3,mental_health,contraindication,Recall@100
RGCN,0.6810798904708971,3,mental_health,contraindication,Avg Rank
RGCN,0.04255813953488372,3,mental_health,contraindication,Precision@100
RGCN,0.048837209302325574,3,mental_health,contraindication,Precision@10
RGCN,0.04679437342602326,3,mental_health,contraindication,Precision@K
BioBERT,0.5472181387744217,3,mental_health,contraindication,AUPRC
BioBERT,0.5264900078333538,3,mental_health,contraindication,AUROC
BioBERT,0.022186870837232076,3,mental_health,contraindication,Recall@100
BioBERT,0.4961537840259941,3,mental_health,contraindication,Avg Rank
BioBERT,0.005348837209302326,3,mental_health,contraindication,Precision@100
BioBERT,0.004651162790697674,3,mental_health,contraindication,Precision@10
BioBERT,0.004453718862892563,3,mental_health,contraindication,Precision@K
TxGNN,0.7912920289453231,3,mental_health,contraindication,AUPRC
TxGNN,0.8144372236515309,3,mental_health,contraindication,AUROC
TxGNN,0.06627638174521125,3,mental_health,contraindication,Recall@100
TxGNN,0.6408572875736809,3,mental_health,contraindication,Avg Rank
TxGNN,0.03395348837209302,3,mental_health,contraindication,Precision@100
TxGNN,0.05813953488372093,3,mental_health,contraindication,Precision@10
TxGNN,0.03789819276038025,3,mental_health,contraindication,Precision@K
Proximity,0.4958606205876729,3,mental_health,contraindication,AUPRC
Proximity,0.5090473379590957,3,mental_health,contraindication,AUROC
Proximity,0.005197738364359808,3,mental_health,contraindication,Recall@100
Proximity,0.5691115424696506,3,mental_health,contraindication,Avg Rank
Proximity,0.0032558139534883722,3,mental_health,contraindication,Precision@100
Proximity,0.006976744186046512,3,mental_health,contraindication,Precision@10
Proximity,0.0028103162162219776,3,mental_health,contraindication,Precision@K
DSD-min,0.5213491370162009,4,mental_health,contraindication,AUPRC
DSD-min,0.5096042114485765,4,mental_health,contraindication,AUROC
DSD-min,0.01903733915760345,4,mental_health,contraindication,Recall@100
DSD-min,0.5149942864964447,4,mental_health,contraindication,Avg Rank
DSD-min,0.0037209302325581397,4,mental_health,contraindication,Precision@100
DSD-min,0.004651162790697674,4,mental_health,contraindication,Precision@10
DSD-min,0.0033701393418277413,4,mental_health,contraindication,Precision@K
KL-min,0.4824160786383854,4,mental_health,contraindication,AUPRC
KL-min,0.4741406513934831,4,mental_health,contraindication,AUROC
KL-min,0.021012387584372776,4,mental_health,contraindication,Recall@100
KL-min,0.5013905849012171,4,mental_health,contraindication,Avg Rank
KL-min,0.0037209302325581397,4,mental_health,contraindication,Precision@100
KL-min,0.002325581395348837,4,mental_health,contraindication,Precision@10
KL-min,0.0035498769777091614,4,mental_health,contraindication,Precision@K
JS-min,0.5085391289473584,4,mental_health,contraindication,AUPRC
JS-min,0.5093684683380296,4,mental_health,contraindication,AUROC
JS-min,0.0075006041293452395,4,mental_health,contraindication,Recall@100
JS-min,0.49398563897929526,4,mental_health,contraindication,Avg Rank
JS-min,0.0030232558139534887,4,mental_health,contraindication,Precision@100
JS-min,0.002325581395348837,4,mental_health,contraindication,Precision@10
JS-min,0.003980221910147213,4,mental_health,contraindication,Precision@K
HGT,0.5017851929701641,4,mental_health,contraindication,AUPRC
HGT,0.5014478710726497,4,mental_health,contraindication,AUROC
HGT,0.031245474269961115,4,mental_health,contraindication,Recall@100
HGT,0.6194703083196985,4,mental_health,contraindication,Avg Rank
HGT,0.0018604651162790699,4,mental_health,contraindication,Precision@100
HGT,0.0,4,mental_health,contraindication,Precision@10
HGT,0.0012067145800386376,4,mental_health,contraindication,Precision@K
HAN,0.43794950969844515,4,mental_health,contraindication,AUPRC
HAN,0.405310159971191,4,mental_health,contraindication,AUROC
HAN,0.11464658221384535,4,mental_health,contraindication,Recall@100
HAN,0.21812287489596294,4,mental_health,contraindication,Avg Rank
HAN,0.005813953488372093,4,mental_health,contraindication,Precision@100
HAN,0.004651162790697674,4,mental_health,contraindication,Precision@10
HAN,0.014340584661825771,4,mental_health,contraindication,Precision@K
RGCN,0.6795987859588559,4,mental_health,contraindication,AUPRC
RGCN,0.7164042864408731,4,mental_health,contraindication,AUROC
RGCN,0.10882587063505424,4,mental_health,contraindication,Recall@100
RGCN,0.6706480643536239,4,mental_health,contraindication,Avg Rank
RGCN,0.04372093023255814,4,mental_health,contraindication,Precision@100
RGCN,0.04186046511627906,4,mental_health,contraindication,Precision@10
RGCN,0.044923979119161586,4,mental_health,contraindication,Precision@K
BioBERT,0.5472181387744217,4,mental_health,contraindication,AUPRC
BioBERT,0.5264900078333538,4,mental_health,contraindication,AUROC
BioBERT,0.022186870837232076,4,mental_health,contraindication,Recall@100
BioBERT,0.4961537840259941,4,mental_health,contraindication,Avg Rank
BioBERT,0.005348837209302326,4,mental_health,contraindication,Precision@100
BioBERT,0.004651162790697674,4,mental_health,contraindication,Precision@10
BioBERT,0.004453718862892563,4,mental_health,contraindication,Precision@K
TxGNN,0.7929127436354358,4,mental_health,contraindication,AUPRC
TxGNN,0.8158906634590753,4,mental_health,contraindication,AUROC
TxGNN,0.06141870656908929,4,mental_health,contraindication,Recall@100
TxGNN,0.6459574669308705,4,mental_health,contraindication,Avg Rank
TxGNN,0.03232558139534884,4,mental_health,contraindication,Precision@100
TxGNN,0.05813953488372093,4,mental_health,contraindication,Precision@10
TxGNN,0.038836063899482916,4,mental_health,contraindication,Precision@K
Proximity,0.5025882879289993,4,mental_health,contraindication,AUPRC
Proximity,0.515555796867401,4,mental_health,contraindication,AUROC
Proximity,0.010696389916123058,4,mental_health,contraindication,Recall@100
Proximity,0.5626677209764936,4,mental_health,contraindication,Avg Rank
Proximity,0.0034883720930232558,4,mental_health,contraindication,Precision@100
Proximity,0.006976744186046512,4,mental_health,contraindication,Precision@10
Proximity,0.0031494709858244,4,mental_health,contraindication,Precision@K
DSD-min,0.4989179396395337,5,mental_health,contraindication,AUPRC
DSD-min,0.4904811758198106,5,mental_health,contraindication,AUROC
DSD-min,0.0030293781722049557,5,mental_health,contraindication,Recall@100
DSD-min,0.4822296282221861,5,mental_health,contraindication,Avg Rank
DSD-min,0.0030232558139534887,5,mental_health,contraindication,Precision@100
DSD-min,0.006976744186046512,5,mental_health,contraindication,Precision@10
DSD-min,0.001779450773351954,5,mental_health,contraindication,Precision@K
KL-min,0.5159313966381807,5,mental_health,contraindication,AUPRC
KL-min,0.518688674306971,5,mental_health,contraindication,AUROC
KL-min,0.007637612896809529,5,mental_health,contraindication,Recall@100
KL-min,0.4970955698865482,5,mental_health,contraindication,Avg Rank
KL-min,0.004186046511627906,5,mental_health,contraindication,Precision@100
KL-min,0.002325581395348837,5,mental_health,contraindication,Precision@10
KL-min,0.003239771909889325,5,mental_health,contraindication,Precision@K
JS-min,0.4875421672751128,5,mental_health,contraindication,AUPRC
JS-min,0.4796490583269293,5,mental_health,contraindication,AUROC
JS-min,0.0028403578609704568,5,mental_health,contraindication,Recall@100
JS-min,0.49861839196200514,5,mental_health,contraindication,Avg Rank
JS-min,0.002093023255813953,5,mental_health,contraindication,Precision@100
JS-min,0.002325581395348837,5,mental_health,contraindication,Precision@10
JS-min,0.0030532709287843665,5,mental_health,contraindication,Precision@K
HGT,0.5360868613722143,5,mental_health,contraindication,AUPRC
HGT,0.5492359695724326,5,mental_health,contraindication,AUROC
HGT,0.13562090581234934,5,mental_health,contraindication,Recall@100
HGT,0.8068689446485584,5,mental_health,contraindication,Avg Rank
HGT,0.025348837209302328,5,mental_health,contraindication,Precision@100
HGT,0.020930232558139538,5,mental_health,contraindication,Precision@10
HGT,0.01875272764073178,5,mental_health,contraindication,Precision@K
HAN,0.48118565438796435,5,mental_health,contraindication,AUPRC
HAN,0.47498338660756384,5,mental_health,contraindication,AUROC
HAN,0.06246430028559772,5,mental_health,contraindication,Recall@100
HAN,0.1509290522556815,5,mental_health,contraindication,Avg Rank
HAN,0.002325581395348837,5,mental_health,contraindication,Precision@100
HAN,0.006976744186046512,5,mental_health,contraindication,Precision@10
HAN,0.0012239902080783353,5,mental_health,contraindication,Precision@K
RGCN,0.6806501088790835,5,mental_health,contraindication,AUPRC
RGCN,0.7164980268116024,5,mental_health,contraindication,AUROC
RGCN,0.10950290823288217,5,mental_health,contraindication,Recall@100
RGCN,0.6566268857787094,5,mental_health,contraindication,Avg Rank
RGCN,0.044186046511627906,5,mental_health,contraindication,Precision@100
RGCN,0.037209302325581395,5,mental_health,contraindication,Precision@10
RGCN,0.04503188920679451,5,mental_health,contraindication,Precision@K
BioBERT,0.5472181387744217,5,mental_health,contraindication,AUPRC
BioBERT,0.5264900078333538,5,mental_health,contraindication,AUROC
BioBERT,0.022186870837232076,5,mental_health,contraindication,Recall@100
BioBERT,0.4961537840259941,5,mental_health,contraindication,Avg Rank
BioBERT,0.005348837209302326,5,mental_health,contraindication,Precision@100
BioBERT,0.004651162790697674,5,mental_health,contraindication,Precision@10
BioBERT,0.004453718862892563,5,mental_health,contraindication,Precision@K
TxGNN,0.7917557249789193,5,mental_health,contraindication,AUPRC
TxGNN,0.8141160932725968,5,mental_health,contraindication,AUROC
TxGNN,0.06572917293606854,5,mental_health,contraindication,Recall@100
TxGNN,0.6464142862907519,5,mental_health,contraindication,Avg Rank
TxGNN,0.034186046511627904,5,mental_health,contraindication,Precision@100
TxGNN,0.0558139534883721,5,mental_health,contraindication,Precision@10
TxGNN,0.03823003732273617,5,mental_health,contraindication,Precision@K
Proximity,0.49919192079760155,5,mental_health,contraindication,AUPRC
Proximity,0.5099689635841862,5,mental_health,contraindication,AUROC
Proximity,0.008171474624654465,5,mental_health,contraindication,Recall@100
Proximity,0.5786819515159362,5,mental_health,contraindication,Avg Rank
Proximity,0.0032558139534883722,5,mental_health,contraindication,Precision@100
Proximity,0.004651162790697674,5,mental_health,contraindication,Precision@10
Proximity,0.0025469481922944966,5,mental_health,contraindication,Precision@K
DSD-min,0.4893371053723711,1,cardiovascular,contraindication,AUPRC
DSD-min,0.48756457228438865,1,cardiovascular,contraindication,AUROC
DSD-min,0.018672587456030208,1,cardiovascular,contraindication,Recall@100
DSD-min,0.4831678952130371,1,cardiovascular,contraindication,Avg Rank
DSD-min,0.004239130434782609,1,cardiovascular,contraindication,Precision@100
DSD-min,0.003260869565217392,1,cardiovascular,contraindication,Precision@10
DSD-min,0.004379799913249782,1,cardiovascular,contraindication,Precision@K
KL-min,0.5010870868815464,1,cardiovascular,contraindication,AUPRC
KL-min,0.49929629840823797,1,cardiovascular,contraindication,AUROC
KL-min,0.009471276257627458,1,cardiovascular,contraindication,Recall@100
KL-min,0.4963659299251779,1,cardiovascular,contraindication,Avg Rank
KL-min,0.00391304347826087,1,cardiovascular,contraindication,Precision@100
KL-min,0.003260869565217392,1,cardiovascular,contraindication,Precision@10
KL-min,0.0031357390813049734,1,cardiovascular,contraindication,Precision@K
JS-min,0.49944518853217357,1,cardiovascular,contraindication,AUPRC
JS-min,0.5030540659283267,1,cardiovascular,contraindication,AUROC
JS-min,0.012764439334724318,1,cardiovascular,contraindication,Recall@100
JS-min,0.5094479024991297,1,cardiovascular,contraindication,Avg Rank
JS-min,0.003152173913043478,1,cardiovascular,contraindication,Precision@100
JS-min,0.0010869565217391304,1,cardiovascular,contraindication,Precision@10
JS-min,0.002021556184026342,1,cardiovascular,contraindication,Precision@K
HGT,0.5157667298215804,1,cardiovascular,contraindication,AUPRC
HGT,0.5328036538418578,1,cardiovascular,contraindication,AUROC
HGT,0.08333261459670006,1,cardiovascular,contraindication,Recall@100
HGT,0.4583098131099457,1,cardiovascular,contraindication,Avg Rank
HGT,0.008804347826086956,1,cardiovascular,contraindication,Precision@100
HGT,0.009782608695652175,1,cardiovascular,contraindication,Precision@10
HGT,0.005632687800872687,1,cardiovascular,contraindication,Precision@K
HAN,0.4730905352690447,1,cardiovascular,contraindication,AUPRC
HAN,0.4605708301638624,1,cardiovascular,contraindication,AUROC
HAN,0.07521150808929263,1,cardiovascular,contraindication,Recall@100
HAN,0.3690205872717333,1,cardiovascular,contraindication,Avg Rank
HAN,0.007717391304347826,1,cardiovascular,contraindication,Precision@100
HAN,0.013043478260869568,1,cardiovascular,contraindication,Precision@10
HAN,0.011031205582043747,1,cardiovascular,contraindication,Precision@K
RGCN,0.6380011344327179,1,cardiovascular,contraindication,AUPRC
RGCN,0.6661053001169726,1,cardiovascular,contraindication,AUROC
RGCN,0.06282873622262349,1,cardiovascular,contraindication,Recall@100
RGCN,0.5786062393266102,1,cardiovascular,contraindication,Avg Rank
RGCN,0.03978260869565218,1,cardiovascular,contraindication,Precision@100
RGCN,0.035869565217391305,1,cardiovascular,contraindication,Precision@10
RGCN,0.03458332598328427,1,cardiovascular,contraindication,Precision@K
BioBERT,0.5626944204582558,1,cardiovascular,contraindication,AUPRC
BioBERT,0.5721968148845051,1,cardiovascular,contraindication,AUROC
BioBERT,0.025730271491833646,1,cardiovascular,contraindication,Recall@100
BioBERT,0.5822009383852389,1,cardiovascular,contraindication,Avg Rank
BioBERT,0.010978260869565217,1,cardiovascular,contraindication,Precision@100
